X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Enthalpy_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
3.68E-10,8.12E-17,0,37316.918,2000,0,0,0,0.098300725,0,0,667.257141,37316.918,2000,-6839411.5,-326046.031,9.79E-07,-134069.484,481.839539,0,-29469.7031,130.543442,0,1.17276311,0.689528525,0.03217005,-12397.2451,0,0,-51.9745178,0.000836915,0.994540334,0.003475573,8.22E-17,0.000721201,8.20E-11,0.001262891
1.71E-05,0.004762162,0,37271.9102,2000,0,0,0,0.098127753,0,0,667.477051,37271.9102,2000,-6832588,-326046.031,9.80E-07,-129947.484,930.877625,0,-40997.7461,299.052643,0,1.17288601,0.689516008,0.031737659,-10076.0605,0,0,-42.2439766,0.000824496,0.993840754,0.003920917,8.42E-17,0.000824556,8.94E-11,0.001413768
6.84E-05,0.009524079,0,37301.7891,2000,0,0,0,0.098066256,0,0,668.04425,37301.7891,2000,-6814983.5,-501163.594,9.80E-07,-125579.789,1802.87463,0,-69845.4219,1009.88757,0,1.17320335,0.689484656,0.031781495,-4466.74316,0,0,-18.7276878,0.000852552,0.992019951,0.005079999,8.20E-17,0.001103326,1.10E-10,0.00179668
0.000153852,0.014285505,0,37273.6406,2000,0,0,0,0.097794056,0,0,668.849609,37273.6406,2000,-6789970.5,-858141.125,9.82E-07,-115438.023,2482.38184,0,-86324.9375,1859.02942,0,1.17365515,0.68944025,0.030960536,3915.34204,0,0,16.419384,0.00083276,0.989412725,0.006739743,7.24E-17,0.00151485,1.41E-10,0.002332651
0.000273506,0.019046195,0,37291.2969,2000,0,0,0,0.097671695,0,0,669.537231,37291.2969,2000,-6768602.5,-1428348,9.82E-07,-102927.156,2955.36719,0,-86074.5625,2472.57056,0,1.17404187,0.689396799,0.029294858,16416.8496,0,0,68.8478088,0.000757864,0.987165928,0.00817002,5.93E-17,0.001881224,1.65E-10,0.002782776
0.000427336,0.023805901,0,37291.7969,2000,0,0,0,0.097563408,0,0,669.985229,37291.7969,2000,-6754671,-1797020.38,9.83E-07,-89148.4531,3196.8645,0,-80877.6484,2902.03784,0,1.17429435,0.689364552,0.027238729,28542.4609,0,0,119.705811,0.000666688,0.9856866,0.009111776,4.88E-17,0.002131178,1.76E-10,0.003070439
0.000615335,0.028564382,0,37331.6641,2000,0,0,0,0.09761934,0,0,670.183167,37331.6641,2000,-6748515,-2118352.25,9.82E-07,-73648.6328,3172.65942,0,-74964.2422,3230.99976,0,1.17440617,0.689345181,0.025018839,38923.9219,0,0,163.249146,0.000570308,0.985026896,0.009531739,4.48E-17,0.002246196,1.80E-10,0.003195165
0.000837492,0.033321392,0,37387.0469,2000,0,0,0,0.097753927,0,0,670.224976,37387.0469,2000,-6747215.5,-2129400.75,9.81E-07,-59432.5742,2985.33887,0,-83727.6953,4214.70801,0,1.17442977,0.689338923,0.024158025,43428.0234,0,0,182.140762,0.000551364,0.984887123,0.009620687,4.69E-17,0.002270819,1.84E-10,0.00322132
0.001093797,0.03807668,0,37385.6328,2000,0,0,0,0.097755164,0,0,670.204773,37385.6328,2000,-6747845,-2208692.25,9.81E-07,-42258.043,2426.9104,0,-90443.8906,5199.39404,0,1.17441821,0.689343035,0.023065783,40733.9766,0,0,170.841141,0.000522402,0.984959364,0.009574715,5.24E-17,0.002255451,1.89E-10,0.003210444
0.001384235,0.042830009,0,37458.2695,2000,0,0,0,0.097978368,0,0,670.069092,37458.2695,2000,-6752071.5,-2102256.5,9.79E-07,-27838.1172,1798.44019,0,-99133.6953,6418.50342,0,1.17434144,0.689355493,0.023072083,34674.1523,0,0,145.422852,0.000530883,0.985417604,0.009282988,5.85E-17,0.002172422,1.90E-10,0.003126935
0.001708793,0.047581129,0,37491.3516,2000,0,0,0,0.098102264,0,0,669.91687,37491.3516,2000,-6756812,-2015042.12,9.78E-07,-15643.1396,1123.10181,0,-114530.812,8238.37207,0,1.17425525,0.689371526,0.024148099,25667.9297,0,0,107.648369,0.000583696,0.985936522,0.008952665,6.31E-17,0.002075559,1.89E-10,0.003035228
0.002067453,0.052329797,0,37554.5117,2000,0,0,0,0.098305725,0,0,669.76178,37554.5117,2000,-6761641,-1877571.5,9.76E-07,-6929.39941,546.957214,0,-130912.852,10364.5967,0,1.17416751,0.689386725,0.025502252,17515.4258,0,0,73.4558716,0.000650224,0.986459494,0.008619745,6.43E-17,0.001981163,1.84E-10,0.002939571
0.002460196,0.057075769,0,37596.3828,2000,0,0,0,0.098440863,0,0,669.658203,37596.3828,2000,-6764865,-1794074.88,9.75E-07,-915.774292,78.238533,0,-152226.562,13150.7256,0,1.17410886,0.689397216,0.027301025,11686.8789,0,0,49.0113869,0.000741918,0.986809909,0.00839668,6.38E-17,0.001917178,1.79E-10,0.002876215
