X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
3.68E-10,8.12E-17,0,138786.094,2000,0,0,0,0.294214576,0,0,763.916626,138786.094,2000,-703558336,2.94E-07,319.624695,-5.97534561,0,-1506.36914,59.8577156,0,1.23665965,0.685133576,0.013314003,410387.906,0,0,1794.96655,0.000176229,0.523417473,0.303313524,4.20E-18,0.166256517,7.90E-12,0.007012398
8.88E-06,0.000475198,0,138785.953,2000,0,0,0,0.294223666,0,0,763.901123,138785.953,2000,-702300992,2.94E-07,241.254364,-8.19715786,0,-2728.15234,114.890915,0,1.2366488,0.685135961,0.017285325,410039.031,0,0,1793.43286,0.000313876,0.523476422,0.303276002,7.44E-18,0.166242629,8.29E-12,0.00700487
3.55E-05,0.000949732,0,138785.703,2000,0,0,0,0.294249922,0,0,763.856628,138785.703,2000,-700063232,2.94E-07,-23.8352394,3.75410223,0,-4943.88281,380.759369,0,1.23661757,0.685142398,0.023620883,409321.125,0,0,1790.26831,0.000563388,0.523654521,0.303162664,1.13E-17,0.166195765,8.53E-12,0.006987026
7.99E-05,0.001422939,0,138785.406,2000,0,0,0,0.294294983,0,0,763.780762,138785.406,2000,-695816768,2.94E-07,-451.412933,53.3781967,0,-6972.65088,796.133301,0,1.23656404,0.685153127,0.028043984,408210.219,0,0,1785.36609,0.000791309,0.523965955,0.302964389,1.23E-17,0.166110083,8.30E-12,0.006959504
0.000141875,0.001894158,0,138784.984,2000,0,0,0,0.294363022,0,0,763.666321,138784.984,2000,-689335232,2.94E-07,-998.35553,153.639893,0,-8928.98438,1354.84424,0,1.23648345,0.685169399,0.031716649,406359.031,0,0,1777.20605,0.001009606,0.524432898,0.302667141,1.20E-17,0.165982917,8.13E-12,0.006916997
0.000221447,0.002362731,0,138784.484,2000,0,0,0,0.29445681,0,0,763.509033,138784.484,2000,-680533440,2.94E-07,-1656.24866,316.95108,0,-10646.292,2021.75134,0,1.23637271,0.685191333,0.034595199,403755.062,0,0,1765.73145,0.001199232,0.525073171,0.302259535,1.05E-17,0.165809408,8.05E-12,0.006857812
0.000318475,0.002828002,0,138783.922,2000,0,0,0,0.294579476,0,0,763.303772,138783.922,2000,-669301440,2.94E-07,-2387.29321,548.644104,0,-12087.332,2764.22754,0,1.23622835,0.68521899,0.036812257,400360.344,0,0,1750.77466,0.001356366,0.525906503,0.301729053,8.65E-18,0.165584579,8.46E-12,0.006779807
0.000432824,0.003289323,0,138783.297,2000,0,0,0,0.294733971,0,0,763.045715,138783.297,2000,-655460800,2.94E-07,-3153.57202,848.702271,0,-13199.0791,3539.75464,0,1.23604667,0.685252964,0.038414545,396087.969,0,0,1731.95276,0.001475907,0.526959419,0.301058769,7.00E-18,0.165297955,8.58E-12,0.006683791
0.000564333,0.003746047,0,138782.672,2000,0,0,0,0.294924676,0,0,762.727966,138782.672,2000,-638519936,2.94E-07,-3885.06177,1201.46436,0,-13898.3643,4287.21094,0,1.23582304,0.685293734,0.039365538,390790.438,0,0,1708.61951,0.001549319,0.528259099,0.300231427,7.59E-18,0.164942622,8.07E-12,0.006566815
0.000712819,0.004197538,0,138782.062,2000,0,0,0,0.29515478,0,0,762.345703,138782.062,2000,-618817088,2.93E-07,-4409.27051,1523.75488,0,-14071.7412,4855.95996,0,1.23555434,0.685340345,0.039565753,384303.594,0,0,1680.05786,0.001564587,0.529821157,0.299237043,8.97E-18,0.164516211,8.15E-12,0.006425559
0.000874428,0.004644525,0,138781.531,2000,0,0,0,0.295417428,0,0,761.910461,138781.531,2000,-598434624,2.93E-07,-4650.62598,1687.74976,0,-14025.8857,5088.19385,0,1.23524797,0.685387373,0.039513502,377141.062,0,0,1648.5177,0.001559894,0.531615436,0.298094809,7.99E-18,0.164018944,8.89E-12,0.006270767
0.001036993,0.005091169,0,138781.031,2000,0,0,0,0.295680732,0,0,761.474365,138781.031,2000,-584132864,2.93E-07,-4799.46191,1747.82214,0,-14305.8994,5209.86572,0,1.23493958,0.685427427,0.039950263,371496,0,0,1623.60205,0.001594343,0.533469141,0.296914756,6.18E-18,0.163478836,9.61E-12,0.006137223
0.001199558,0.005537814,0,138780.531,2000,0,0,0,0.295917422,0,0,761.08197,138780.531,2000,-573596544,2.93E-07,-4992.20898,1818.18652,0,-14871.1621,5415.96826,0,1.23466027,0.685459733,0.040772319,367919.594,0,0,1607.74036,0.001660309,0.535200894,0.295812339,5.66E-18,0.162944824,9.86E-12,0.006041904
