X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Enthalpy_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
3.68E-10,8.12E-17,0,131458.078,2000,0,0,0,0.257741064,0,0,803.18219,131458.078,2000,-2523852.5,-5.92E+09,3.22E-07,2418.21973,-8.69096947,0,-3.51E+04,155.621826,0,1.26426876,0.681886554,0.023677785,1113205.25,0,0,4905.58594,0.000559343,0.393421859,0.386142105,1.54E-17,0.18701008,4.47E-10,0.033425909
1.71E-05,0.004762162,0,131450.531,2000,0,0,0,0.25772661,0,0,803.17981,131450.531,2000,-2523935,-5.92E+09,3.22E-07,1979.65186,-14.0246487,0,-73185.2188,541.109131,0,1.26426327,0.681888759,0.032688551,1114563.75,0,0,4911.48486,0.00114874,0.39353618,0.386069328,1.55E-17,0.186928183,4.52E-10,0.033466268
6.84E-05,9.52E-03,0,131406.094,2000,0,0,0,0.257670194,0,0,803.113953,131406.094,2000,-2526033.5,-5.95E+09,3.22E-07,540.896118,-7.35383987,0,-152596.219,2207.82251,0,1.26420736,0.68189913,0.048071735,1115818.88,0,0,4916.76904,0.002350638,0.393981725,0.385785699,1.58E-17,0.186720788,4.63E-10,0.033511747
0.000153852,0.014285505,0,131319.703,2000,0,0,0,0.257574379,0,0,802.960327,131319.703,2000,-2530906.5,-5.94E+09,3.22E-07,-2010.41089,43.9351883,0,-233681.016,5049.52734,0,1.26408613,0.681917548,0.05923314,1115509.88,0,0,4915.03467,0.003530365,0.394767046,0.385285795,1.62E-17,0.186429232,4.75E-10,0.033517916
0.000273506,0.019046195,0,131185.219,2000,0,0,0,0.257391036,0,0,802.791931,131185.219,2000,-2536248,-5.94E+09,3.23E-07,-5753.604,166.147522,0,-315323.688,9073.99805,0,1.26395261,0.681937099,0.068210885,1114726.75,0,0,4911.15967,0.004668827,0.395648539,0.384724617,1.66E-17,0.186093867,4.88E-10,0.033532932
0.000427336,0.023805901,0,130966.328,2000,0,0,0,0.257025659,0,0,802.656311,130966.328,2000,-2540549.75,-5.92E+09,3.23E-07,-10656.6943,383.770477,0,-394751.781,14190.7383,0,1.26384234,0.681954145,0.075608574,1113089,0,0,4903.53906,0.005725248,0.396437615,0.384222299,1.71E-17,0.185763448,5.02E-10,0.033576604
0.000615335,0.028564382,0,130639.625,2000,0,0,0,0.256429464,0,0,802.559082,130639.625,2000,-2543628,-5.91E+09,3.24E-07,-16404.3223,708.24939,0,-460881.938,19875.8594,0,1.26375997,0.681968331,0.080872297,1110455.12,0,0,4891.5625,0.006542772,0.397106856,0.383796275,1.74E-17,0.185447261,5.16E-10,0.033649571
0.000837492,0.033321392,0,130219.18,2000,0,0,0,0.255633533,0,0,802.493286,130219.18,2000,-2545705.75,-5.88E+09,3.25E-07,-22237.5723,1119.56995,0,-501189.312,25212.707,0,1.26370037,0.681979954,0.083441287,1107277.25,0,0,4877.21582,0.006960757,0.397678971,0.38343206,1.78E-17,0.1851421,5.29E-10,0.033746827
0.001093797,0.03807668,0,129794.617,2000,0,0,0,0.25481838,0,0,802.44989,129794.617,2000,-2547074.25,-5.86E+09,3.26E-07,-26457.1172,1521.75793,0,-496212.562,28524.1992,0,1.26365685,0.681989074,0.082112081,1104939.75,0,0,4866.59326,0.00674436,0.398178786,0.383113891,1.81E-17,0.184847355,5.39E-10,0.033859935
0.001384235,0.042830009,0,129541.992,2000,0,0,0,0.254337013,0,0,802.41449,129541.992,2000,-2548205,-5.84E+09,3.27E-07,-28529.416,1846.20251,0,-461637.5,29862.6992,0,1.2636193,0.681996047,0.078378439,1105244,0,0,4867.62549,0.006145999,0.39863807,0.3828215,1.84E-17,0.184568539,5.48E-10,0.033971846
0.001708793,0.047581129,0,129818.266,2000,0,0,0,0.254900455,0,0,802.367065,129818.266,2000,-2549751,-5.86E+09,3.26E-07,-29326.332,2109.10596,0,-419988.875,30195.043,0,1.26357365,0.682000458,0.074137621,1112732.75,0,0,4900.31885,0.005500215,0.399097472,0.38252905,1.88E-17,0.18431586,5.55E-10,0.034057573
0.002067453,0.052329797,0,131046.312,2000,0,0,0,0.257344663,0,0,802.297424,131046.312,2000,-2552070,-5.96E+09,3.23E-07,-36174.1094,2865.2605,0,-455930.219,36103.7617,0,1.26351166,0.681999624,0.076791003,1134237.62,0,0,4994.74072,0.005915646,0.399594307,0.382212788,1.93E-17,0.184083462,5.65E-10,0.03410941
0.002460196,0.057075769,0,133093.375,2000,0,0,0,0.261403829,0,0,802.216797,133093.375,2000,-2554801.25,-6.22E+09,3.18E-07,-59280.6445,5125.99609,0,-678526.125,58662.7383,0,1.26343966,0.681992769,0.093095183,1169039.38,0,0,5147.68066,0.00878315,0.400145262,0.381862044,2.00E-17,0.183835909,5.78E-10,0.03415674
0.002887004,0.061818797,0,135051.875,2000,0,0,0,0.265284032,0,0,802.147034,135051.875,2000,-2557189.5,-6.57E+09,3.13E-07,-97066.2031,9093.73145,0,-1030346.38,96514.7734,0,1.26337254,0.681984127,0.114841089,1204736.25,0,0,5304.479,0.013285051,0.400748044,0.38147831,2.08E-17,0.183527261,5.98E-10,0.03424634
0.003347853,0.066558637,0,136239.234,2000,0,0,0,0.267639369,0,0,802.095764,136239.234,2000,-2558942.25,-6.84E+09,3.11E-07,-138607.891,13986.2383,0,-1364157.25,137630.531,0,1.26331592,0.681977749,0.13189362,1231759.38,0,0,5422.97754,0.017430047,0.401409,0.38105756,2.16E-17,0.183134139,6.22E-10,0.034399264
0.003842719,0.071295045,0,136519.578,2000,0,0,0,0.268207699,0,0,802.052734,136519.578,2000,-2560375.25,-7.02E+09,3.10E-07,-175808.031,19012.7441,0,-1609386.38,174026.594,0,1.26326287,0.681976497,0.142286137,1246037.38,0,0,5485.2583,0.02025344,0.402148157,0.380587012,2.25E-17,0.182661161,6.51E-10,0.034603618
0.004371578,0.076027781,0,136043.328,2000,0,0,0,0.267290622,0,0,802.005798,136043.328,2000,-2561879.25,-7.06E+09,3.11E-07,-206319.5,23809.7734,0,-1771253.5,204387.219,0,1.26320589,0.681981266,0.147802681,1248127.38,0,0,5493.80469,0.021844374,0.402972847,0.380062014,2.33E-17,0.182127386,6.81E-10,0.034837697
0.004934402,0.080756605,0,135201.156,2000,0,0,0,0.265660614,0,0,801.945801,135201.156,2000,-2563774.5,-7.03E+09,3.13E-07,-230742.281,28306.8203,0,-1865419.5,228824.328,0,1.26313865,0.68198967,0.149983376,1244509.5,0,0,5477.1792,0.022492768,0.403876275,0.379486918,2.42E-17,0.181558192,7.12E-10,0.035078578
0.005531162,0.085481256,0,134260.141,2000,0,0,0,0.263844848,0,0,801.868286,134260.141,2000,-2566215.5,-6.96E+09,3.15E-07,-252157.219,32772.6602,0,-1924258.12,250074.906,0,1.26305866,0.682000339,0.150586039,1238852.25,0,0,5451.55811,0.022673963,0.404845059,0.378870189,2.51E-17,0.18097353,7.43E-10,0.035311163
0.006161828,0.090201505,0,133340.641,2000,0,0,0,0.262079477,0,0,801.773865,133340.641,2000,-2569194.75,-6.89E+09,3.17E-07,-273444.594,37537.4375,0,-1976453,271301.469,0,1.26296651,0.682012498,0.150903299,1232660.5,0,0,5423.57617,0.022769496,0.405866474,0.378219992,2.60E-17,0.180382699,7.74E-10,0.035530813
0.006826366,0.094917104,0,132496.375,2000,0,0,0,0.260469526,0,0,801.663391,132496.375,2000,-2572687.25,-6.83E+09,3.19E-07,-295830.312,42776.5312,0,-2031420,293721.781,0,1.26286292,0.682025671,0.151341408,1227012.25,0,0,5397.97998,0.022901652,0.406936556,0.37753877,2.69E-17,0.179787099,8.05E-10,0.035737537
0.007524742,0.099627808,0,131736.375,2000,0,0,0,0.259032607,0,0,801.536987,131736.375,2000,-2576690.75,-6.77E+09,3.21E-07,-319821.375,48592.2266,0,-2092000.12,317831.719,0,1.26274776,0.682039499,0.152006716,1222270.88,0,0,5376.36377,0.023103178,0.408057898,0.376824945,2.78E-17,0.179184645,8.36E-10,0.035932489
0.008256922,0.104333378,0,131049.93,2000,0,0,0,0.25774762,0,0,801.394714,131049.93,2000,-2581203.5,-6.72E+09,3.23E-07,-345553.906,55042.8711,0,-2158135.25,343749.781,0,1.26262093,0.682054102,0.152881801,1218416.38,0,0,5358.63623,0.023369685,0.409233451,0.376076609,2.87E-17,0.178572938,8.67E-10,0.036116988
0.009022865,0.109033577,0,130422.281,2000,0,0,0,0.256585419,0,0,801.236755,130422.281,2000,-2586218.75,-6.68E+09,3.24E-07,-373011.312,62165.6523,0,-2228806,371433.594,0,1.26248252,0.682069361,0.153914362,1215331.75,0,0,5344.27881,0.023686172,0.410465151,0.37529251,2.96E-17,0.177950114,8.97E-10,0.036292203
0.009822534,0.113728143,0,129838.641,2000,0,0,0,0.255516738,0,0,801.063354,129838.641,2000,-2591727.5,-6.65E+09,3.26E-07,-402112.906,69986.3672,0,-2302793.25,400776.719,0,1.2623328,0.682085454,0.155049339,1212864,0,0,5332.6167,0.024036542,0.411753893,0.374472111,3.05E-17,0.177314878,9.28E-10,0.036459085
0.010655887,0.118416853,0,129286.484,2000,0,0,0,0.254516691,0,0,800.874939,129286.484,2000,-2597715.75,-6.61E+09,3.27E-07,-432743.188,78522.4062,0,-2378922,431645.406,0,1.26217186,0.682102323,0.156238675,1210863.38,0,0,5322.98926,0.024406478,0.413099349,0.373615593,3.14E-17,0.176666662,9.59E-10,0.036618356
0.011522882,0.123099461,0,128757.086,2000,0,0,0,0.253567755,0,0,800.672058,128757.086,2000,-2604163.75,-6.58E+09,3.28E-07,-464814.219,87793.2266,0,-2456339.25,463932.406,0,1.26200044,0.682120025,0.157450795,1209230.88,0,0,5314.96143,0.024786428,0.414499789,0.372724086,3.23E-17,0.176005483,9.90E-10,0.036770608
