x,P,T,CO2,CO,C2,O2,C,O
-0.000936233,1187,1088,1,0,0,0,0,0
-0.000932677,1187,1088,1,2.27E-24,0,0,0,0
-0.000929121,1187,1088,0.99999994,5.67E-24,0,0,0,1.11E-16
-0.000925564,1187,1088,0.99999994,1.15E-23,0,0,0,2.22E-16
-0.000922008,1187,1088,0.99999994,1.93E-23,0,0,0,1.11E-16
-0.000918452,1187,1088,0.99999994,2.85E-23,0,0,0,2.22E-16
-0.000914895,1187,1088,0.99999994,3.92E-23,0,0,0,1.11E-16
-0.000911339,1187,1088,1,5.16E-23,0,0,0,0
-0.000907783,1187,1088,1,6.54E-23,0,0,0,0
-0.000904226,1187,1088,0.99999994,8.07E-23,0,0,0,2.22E-16
-0.00090067,1187,1088,0.99999994,9.74E-23,0,1.09E-24,0,2.22E-16
-0.000897114,1187,1088,1,1.16E-22,0,1.27E-24,0,0
-0.000893557,1187,1088,1,1.36E-22,0,1.46E-24,0,0
-0.000890001,1187,1088,0.99999994,1.57E-22,0,1.67E-24,0,1.11E-16
-0.000886445,1187,1088,0.99999994,1.98E-22,0,2.09E-24,0,2.22E-16
-0.000882888,1187,1088,0.99999994,2.74E-22,0,2.88E-24,0,1.11E-16
-0.000879332,1187,1088,1,3.78E-22,0,3.97E-24,0,0
-0.000875776,1186.99988,1088,1,5.05E-22,0,5.32E-24,0,0
-0.000872219,1186.99988,1088,1,6.61E-22,0,6.99E-24,0,0
-0.000868663,1186.99988,1087.99988,1,8.50E-22,0,9.03E-24,0,0
-0.000865107,1187,1088,1,1.07E-21,0,1.14E-23,0,0
-0.00086155,1187,1088,1,1.30E-21,0,1.40E-23,0,0
-0.000857994,1187,1088,0.99999994,1.56E-21,0,1.68E-23,0,1.11E-16
-0.000854438,1187,1088,0.99999994,1.85E-21,0,1.99E-23,0,2.22E-16
-0.000850881,1187,1088,0.99999994,2.15E-21,0,2.33E-23,0,2.22E-16
-0.000847325,1187,1088,0.99999994,2.46E-21,0,2.68E-23,0,1.11E-16
-0.000843769,1187,1088,0.99999994,2.80E-21,0,3.05E-23,0,2.22E-16
-0.000840212,1187,1088,0.99999994,3.17E-21,0,3.46E-23,0,1.11E-16
-0.000836656,1187,1088,0.99999994,3.57E-21,0,3.91E-23,0,2.22E-16
-0.0008331,1187,1088,0.99999994,4.00E-21,0,4.38E-23,0,2.22E-16
-0.000829543,1187,1088,0.99999994,5.02E-21,0,5.47E-23,0,2.22E-16
-0.000825987,1187,1088,0.99999994,7.07E-21,0,7.64E-23,0,2.22E-16
-0.00082243,1187,1088,0.99999994,9.97E-21,0,1.07E-22,0,2.22E-16
-0.000818874,1187,1088,0.99999994,1.36E-20,0,1.44E-22,0,2.22E-16
-0.000815318,1187,1088,0.99999994,1.81E-20,0,1.91E-22,0,1.11E-16
-0.000811761,1187,1088,0.99999994,2.36E-20,0,2.49E-22,1.12E-24,1.11E-16
-0.000808205,1187,1088,0.99999994,3.01E-20,0,3.15E-22,1.37E-24,1.11E-16
-0.000804649,1187,1088,0.99999994,3.72E-20,0,3.87E-22,1.65E-24,2.22E-16
-0.000801092,1187,1088,0.99999994,4.51E-20,0,4.67E-22,1.95E-24,4.44E-16
-0.000797536,1187,1088,0.99999994,5.38E-20,0,5.54E-22,2.27E-24,3.33E-16
-0.00079398,1187,1088,0.99999994,6.31E-20,0,6.47E-22,2.61E-24,2.22E-16
-0.000790423,1187,1088,0.99999994,7.30E-20,0,7.44E-22,2.97E-24,4.44E-16
-0.000786867,1186.99988,1088,0.99999994,8.57E-20,0,8.70E-22,3.44E-24,4.44E-16
-0.000783311,1186.99988,1088,0.99999994,1.03E-19,0,1.05E-21,4.10E-24,3.33E-16
-0.000779754,1186.99988,1088,0.99999994,1.26E-19,0,1.27E-21,4.92E-24,3.33E-16
-0.000776198,1187,1088,0.99999994,1.53E-19,0,1.55E-21,5.92E-24,4.44E-16
-0.000772642,1187,1088,0.99999994,3.30E-19,0,3.41E-21,1.25E-23,3.33E-16
-0.000769085,1187,1088,0.99999994,7.67E-19,0,8.04E-21,3.00E-23,2.22E-16
-0.000765529,1187,1088,0.99999994,1.45E-18,0,1.51E-20,5.86E-23,1.11E-16
-0.000761973,1187,1088,0.99999994,2.36E-18,0,2.44E-20,9.61E-23,1.11E-16
-0.000758416,1187,1088,1,3.55E-18,0,3.64E-20,1.43E-22,0
-0.00075486,1187,1088,1,5.06E-18,0,5.14E-20,2.02E-22,0
-0.000751304,1187,1088,1,6.85E-18,0,6.91E-20,2.70E-22,0
-0.000747747,1187,1088,1,8.87E-18,0,8.88E-20,3.45E-22,0
-0.000744191,1187,1088,0.99999994,1.17E-17,0,1.17E-19,4.49E-22,2.22E-16
-0.000740635,1187,1088,0.99999994,1.59E-17,0,1.58E-19,6.07E-22,4.44E-16
-0.000737078,1187,1088,0.99999994,2.13E-17,0,2.11E-19,8.11E-22,2.22E-16
-0.000733522,1187,1088,0.99999994,2.77E-17,0,2.74E-19,1.05E-21,3.33E-16
-0.000729966,1187,1088,0.99999994,3.55E-17,0,3.49E-19,1.33E-21,4.44E-16
-0.000726409,1187,1088,0.99999994,4.46E-17,0,4.38E-19,1.65E-21,2.22E-16
-0.000722853,1187,1088,0.99999994,6.23E-17,0,6.11E-19,2.32E-21,2.22E-16
-0.000719297,1187,1088,0.99999994,7.95E-17,0,7.96E-19,2.90E-21,3.33E-16
-0.00071574,1187.03674,1088.03369,0.99999994,1.31E-15,1.12E-23,1.37E-17,4.76E-20,8.88E-16
-0.000712184,1187,1088,0.99999994,3.14E-15,2.49E-23,3.22E-17,1.17E-19,1.78E-15
-0.000708628,1187,1088,0.99999994,4.34E-15,3.08E-23,4.34E-17,1.60E-19,2.33E-15
-0.000705071,1187,1088,0.99999994,5.64E-15,3.79E-23,5.57E-17,2.07E-19,2.89E-15
-0.000701515,1187,1088,0.99999994,7.24E-15,4.80E-23,7.13E-17,2.70E-19,4.00E-15
-0.000697959,1187,1088,0.99999994,9.39E-15,6.02E-23,9.21E-17,3.50E-19,5.11E-15
-0.000694402,1187,1087.99988,0.99999994,1.24E-14,7.75E-23,1.21E-16,4.64E-19,6.77E-15
-0.000690846,1186.99988,1088,0.99999994,3.63E-14,2.79E-22,3.63E-16,1.80E-18,2.03E-14
-0.00068729,1186.99988,1087.99988,0.99999994,1.03E-13,7.87E-22,1.04E-15,5.36E-18,5.75E-14
-0.000683733,1186.99963,1087.99988,0.99999994,2.06E-13,1.52E-21,2.09E-15,1.07E-17,1.16E-13
-0.000680177,1186.99951,1087.99878,0.99999994,5.87E-13,4.39E-21,6.23E-15,2.96E-17,3.29E-13
-0.00067662,1186.9707,1087.99023,0.99999994,2.89E-11,2.40E-19,3.27E-13,1.55E-15,1.62E-11
-0.000673064,1187.07031,1087.979,0.99999994,2.30E-08,2.02E-16,2.59E-10,1.32E-12,1.28E-08
-0.000669508,1218.05554,1106.64429,0.999986649,8.48E-06,7.47E-14,9.55E-08,4.87E-10,4.75E-06
-0.000665951,2448.62866,1735.0448,0.999298751,0.000446315,3.96E-12,5.04E-06,2.57E-08,0.000249814
-0.000662395,16428.2891,4322.53027,0.993431151,0.004181097,3.86E-11,4.79E-05,2.47E-07,0.00233956
-0.000658839,60384.9688,7213.00537,0.974352777,0.016324325,1.80E-10,0.000198834,1.06E-06,0.009122951
-0.000655282,105947.805,8084.33643,0.938961267,0.038849514,6.63E-10,0.000541476,3.09E-06,0.021644622
-0.000651726,121415.812,7927.63623,0.894889534,0.066898413,1.56E-09,0.001060974,5.98E-06,0.037145067
-0.00064817,122461.781,7677.75977,0.851322412,0.094626568,2.65E-09,0.001675215,8.67E-06,0.052367114
-0.000644613,122485,7424.42871,0.812983513,0.119027965,3.75E-09,0.002325517,1.07E-05,0.065652244
-0.000641057,122597.547,7205.37695,0.781417251,0.139119416,4.77E-09,0.002966969,1.22E-05,0.076484166
-0.000637501,122711.906,7020.17969,0.755293548,0.15574716,5.70E-09,0.003586353,1.32E-05,0.085359737
-0.000633944,122832.188,6862.26465,0.733259737,0.16977194,6.54E-09,0.004182194,1.39E-05,0.092772178
-0.000630388,122950,6725.63965,0.714329422,0.181821465,7.30E-09,0.004755567,1.45E-05,0.09907902
-0.000626832,123065.219,6605.79492,0.697809219,0.192337006,7.98E-09,0.005308076,1.49E-05,0.104530692
-0.000623275,123177.297,6499.66406,0.68320179,0.201635122,8.60E-09,0.0058414,1.53E-05,0.109306328
-0.000619719,123285.547,6404.81543,0.670140266,0.2099493,9.15E-09,0.006357193,1.56E-05,0.113537624
-0.000616163,123390.031,6319.08105,0.658352256,0.217452839,9.66E-09,0.006856973,1.58E-05,0.117322028
-0.000612606,123491.57,6241.01904,0.64762944,0.224278376,1.01E-08,0.007342069,1.61E-05,0.120733969
-0.00060905,123589.953,6169.51074,0.63780874,0.230529755,1.05E-08,0.007813675,1.62E-05,0.123831548
-0.000605494,123685.352,6103.65674,0.62876004,0.236289725,1.09E-08,0.008272865,1.64E-05,0.126660928
-0.000601937,123777.906,6042.71533,0.620378315,0.241625145,1.12E-08,0.008720602,1.65E-05,0.129259363
-0.000598381,123867.773,5986.07764,0.612577617,0.246590734,1.15E-08,0.009157754,1.66E-05,0.131657198
-0.000594825,123955.125,5933.23291,0.605286896,0.2512317,1.18E-08,0.009585127,1.67E-05,0.133879468
-0.000591268,124040.086,5883.73975,0.59844631,0.255586177,1.21E-08,0.010003467,1.68E-05,0.135947183
-0.000587712,124122.836,5837.24805,0.592006743,0.259685397,1.23E-08,0.010413289,1.69E-05,0.137877658
-0.000584156,124203.453,5793.39209,0.585919023,0.263560623,1.25E-08,0.010815568,1.69E-05,0.139687777
-0.000580599,124282.125,5751.87891,0.580145121,0.267236114,1.26E-08,0.011211013,1.70E-05,0.141390696
-0.000577043,124358.961,5712.53809,0.574661613,0.27072677,1.28E-08,0.011599662,1.70E-05,0.142994866
-0.000573487,124433.984,5675.17725,0.569442928,0.274048835,1.29E-08,0.011981854,1.71E-05,0.144509226
-0.00056993,124507.32,5639.62012,0.564465582,0.277217329,1.30E-08,0.012357979,1.71E-05,0.145941943
-0.000566374,124579.039,5605.71094,0.559708595,0.280245543,1.31E-08,0.012728414,1.71E-05,0.147300273
-0.000562817,124649.219,5573.30908,0.55515343,0.283145279,1.32E-08,0.013093509,1.71E-05,0.148590565
-0.000559261,124717.945,5542.29639,0.550783813,0.285926938,1.32E-08,0.01345359,1.71E-05,0.149818465
-0.000555705,124785.258,5512.55127,0.546585083,0.288599819,1.33E-08,0.013808962,1.71E-05,0.150988936
-0.000552149,124851.242,5483.95947,0.542544484,0.291172057,1.33E-08,0.014159866,1.71E-05,0.152106419
-0.000548592,124915.977,5456.44824,0.538650453,0.293650985,1.33E-08,0.014506497,1.71E-05,0.153174892
-0.000545036,124979.469,5429.95752,0.534892559,0.296043247,1.33E-08,0.014849078,1.71E-05,0.154197946
-0.000541479,125041.75,5404.41992,0.531261384,0.298354894,1.33E-08,0.015187826,1.71E-05,0.155178785
-0.000537923,125102.859,5379.77148,0.527748287,0.30059135,1.32E-08,0.015522951,1.70E-05,0.156120315
-0.000534367,125162.844,5355.95459,0.524345517,0.302757591,1.31E-08,0.015854649,1.70E-05,0.157025158
-0.00053081,125221.734,5332.9165,0.521046102,0.304858059,1.31E-08,0.016183104,1.70E-05,0.157895699
-0.000527254,125279.578,5310.6084,0.517843485,0.306896925,1.30E-08,0.016508494,1.69E-05,0.158734128
-0.000523698,125336.391,5288.98682,0.514731765,0.308877915,1.29E-08,0.016830975,1.69E-05,0.159542412
-0.000520141,125392.219,5268.01074,0.511705518,0.310804486,1.28E-08,0.017150713,1.68E-05,0.160322368
-0.000516585,125447.078,5247.64209,0.508759797,0.312679827,1.26E-08,0.017467853,1.68E-05,0.161075667
-0.000513029,125501,5227.84814,0.505890071,0.314506799,1.25E-08,0.017782524,1.67E-05,0.161803797
-0.000509472,125554.008,5208.59521,0.50309217,0.316288054,1.24E-08,0.01809486,1.67E-05,0.162508175
-0.000505916,125606.125,5189.85498,0.500362158,0.318026066,1.22E-08,0.018404985,1.66E-05,0.163190067
-0.00050236,125657.367,5171.60107,0.497696549,0.319723159,1.20E-08,0.018713016,1.66E-05,0.16385068
-0.000498803,125707.773,5153.80908,0.495091856,0.32138145,1.19E-08,0.019019065,1.65E-05,0.164491102
-0.000495247,125757.344,5136.45605,0.492545009,0.323002905,1.17E-08,0.019323241,1.64E-05,0.165112376
-0.000491691,125806.102,5119.51953,0.490053207,0.324589342,1.15E-08,0.019625647,1.63E-05,0.165715426
-0.000488134,125854.07,5102.97949,0.487613648,0.32614252,1.13E-08,0.019926382,1.63E-05,0.166301131
-0.000484578,125901.266,5086.81787,0.485223889,0.327664018,1.11E-08,0.02022554,1.62E-05,0.166870326
-0.000481022,125947.703,5071.0166,0.482881546,0.329155326,1.09E-08,0.020523209,1.61E-05,0.16742377
-0.000477465,125993.391,5055.55957,0.480584413,0.330617875,1.07E-08,0.020819482,1.60E-05,0.167962179
-0.000473909,126038.344,5040.43018,0.478330433,0.332052946,1.05E-08,0.021114437,1.59E-05,0.168486223
-0.000470353,126082.586,5025.61475,0.476117611,0.333461851,1.03E-08,0.021408157,1.58E-05,0.168996543
-0.000466796,126126.125,5011.09912,0.473944128,0.334845692,1.00E-08,0.021700723,1.57E-05,0.169493705
-0.00046324,126168.977,4996.87061,0.471808285,0.336205572,9.83E-09,0.021992207,1.56E-05,0.169978261
-0.000459684,126211.141,4982.91699,0.469708443,0.337542564,9.60E-09,0.022282681,1.55E-05,0.170450762
-0.000456127,126252.641,4969.22705,0.467643082,0.338857621,9.38E-09,0.022572216,1.54E-05,0.170911655
-0.000452571,126293.484,4955.79004,0.465610743,0.340151638,9.15E-09,0.022860883,1.53E-05,0.171361402
-0.000449015,126333.688,4942.59619,0.463610053,0.341425508,8.92E-09,0.023148745,1.52E-05,0.171800449
-0.000445458,126373.25,4929.63477,0.461639732,0.342680067,8.69E-09,0.02343587,1.51E-05,0.172229216
-0.000441902,126412.188,4916.89795,0.459698528,0.343916118,8.46E-09,0.023722319,1.49E-05,0.172648057
-0.000438346,126450.508,4904.37646,0.457785308,0.345134348,8.23E-09,0.024008153,1.48E-05,0.173057348
-0.000434789,126488.227,4892.06201,0.455898911,0.3463355,8.00E-09,0.024293432,1.47E-05,0.173457429
-0.000431233,126525.344,4879.94678,0.454038322,0.347520232,7.78E-09,0.024578216,1.46E-05,0.173848629
-0.000427677,126561.875,4868.02393,0.452202499,0.348689198,7.55E-09,0.024862561,1.44E-05,0.174231261
-0.00042412,126597.82,4856.28613,0.450390518,0.349842995,7.33E-09,0.025146525,1.43E-05,0.174605608
