x,P,T,CO2,CO,C2,O2,C,O
-0.000936233,1187,1088,1,0,0,0,0,0
-9.33E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-9.29E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-9.26E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-9.22E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-9.18E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-9.15E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-9.11E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-9.08E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-9.04E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-9.01E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-8.97E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-8.94E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-8.90E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-8.86E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-8.83E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-8.79E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-8.76E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-8.72E-04,1187,1088,1,0,0.00E+00,0,0.00E+00,0
-8.69E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,1.11E-16
-8.65E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,1.11E-16
-8.62E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,1.11E-16
-8.58E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-8.54E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-8.51E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-8.47E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-8.44E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-8.40E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-8.37E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-8.33E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-8.30E-04,1187,1088,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-8.26E-04,1187,1088,0.99999994,1.66E-24,0.00E+00,0,0.00E+00,2.22E-16
-8.22E-04,1187,1088,0.99999994,4.91E-24,0.00E+00,0,0.00E+00,2.22E-16
-8.19E-04,1187,1088,0.99999994,1.49E-23,0.00E+00,0,0.00E+00,2.22E-16
-8.15E-04,1187,1088,0.99999994,4.59E-23,0.00E+00,1.18E-24,0.00E+00,2.22E-16
-8.12E-04,1187,1088,0.99999994,1.42E-22,0.00E+00,3.43E-24,0.00E+00,2.22E-16
-8.08E-04,1187,1088,0.99999994,4.37E-22,0.00E+00,1.04E-23,0.00E+00,2.22E-16
-8.05E-04,1187,1088,0.99999994,1.35E-21,0.00E+00,3.19E-23,0.00E+00,2.22E-16
-8.01E-04,1187,1088,0.99999994,4.19E-21,0.00E+00,9.86E-23,0.00E+00,2.22E-16
-7.98E-04,1187,1088,0.99999994,1.30E-20,0.00E+00,3.05E-22,0.00E+00,2.22E-16
-7.94E-04,1187,1088,0.99999994,4.02E-20,0.00E+00,9.47E-22,2.11E-24,2.22E-16
-7.90E-04,1187,1088,0.99999994,1.25E-19,0.00E+00,2.94E-21,6.35E-24,2.22E-16
-7.87E-04,1187,1088,0.99999994,3.89E-19,0.00E+00,9.14E-21,1.95E-23,2.22E-16
-7.83E-04,1187,1088,0.99999994,1.21E-18,0.00E+00,2.85E-20,6.07E-23,2.22E-16
-7.80E-04,1187,1088,0.99999994,3.78E-18,0.00E+00,8.90E-20,1.89E-22,3.33E-16
-7.76E-04,1187,1088,0.99999994,1.19E-17,0.00E+00,2.79E-19,5.93E-22,6.66E-16
-7.73E-04,1187,1088,0.99999994,3.64E-17,0.00E+00,8.52E-19,1.82E-21,8.88E-16
