x,y,P,T,CO2,CO,C2,O2,C,O
3.68E-10,8.12E-17,138788.234,2000,0.519621134,3.06E-01,1.38E-17,1.67E-01,8.76E-12,0.007259825
9.53E-06,0.000492161,138788.125,2000,0.519718945,3.06E-01,1.64E-17,1.67E-01,8.79E-12,0.007246786
3.81E-05,0.000983584,138787.906,2000,0.519976139,3.06E-01,1.36E-17,1.67E-01,7.61E-12,0.007218127
8.57E-05,0.001473534,138787.594,2000,0.520363033,3.05E-01,1.01E-17,1.67E-01,5.40E-12,0.007180741
0.000152169,0.001961274,138787.156,2000,0.520897269,3.05E-01,9.89E-18,1.67E-01,3.69E-12,0.007129533
0.000237497,0.002446076,138786.641,2000,0.521604061,3.04E-01,4.61E-18,1.67E-01,3.53E-12,0.007061559
0.000341525,0.002927211,138786.047,2000,0.522513986,3.04E-01,3.32E-18,1.67E-01,6.00E-12,0.006973955
0.000464099,0.00340396,138785.391,2000,0.523663521,3.03E-01,7.15E-18,1.66E-01,9.24E-12,0.006863324
0.000605034,0.003875606,138784.75,2000,0.52508688,3.02E-01,1.01E-17,1.66E-01,1.10E-11,0.006726225
0.000764118,0.004341444,138784.156,2000,0.526791692,3.01E-01,1.11E-17,1.65E-01,1.16E-11,0.006564344
0.000932487,0.004804041,138783.609,2000,0.528669238,3.00E-01,9.80E-18,1.65E-01,1.19E-11,0.006403901
0.001100858,0.005266637,138783.109,2000,0.530502677,2.99E-01,8.39E-18,1.64E-01,1.11E-11,0.006280401
0.001269229,0.005729232,138782.578,2000,0.53215611,2.98E-01,8.25E-18,1.64E-01,7.42E-12,0.006194292
0.0014376,0.006191828,138782.031,2000,0.533610165,2.97E-01,8.11E-18,1.63E-01,5.10E-12,0.006128249
0.001605971,0.006654424,138781.453,2000,0.534876823,2.96E-01,5.31E-18,1.63E-01,6.04E-12,0.006074724
0.001774342,0.007117019,138780.859,2000,0.535976946,2.95E-01,5.71E-18,1.63E-01,5.29E-12,0.006030738
0.001942713,0.007579615,138780.25,2000,0.536931753,2.95E-01,1.03E-17,1.62E-01,3.84E-12,0.005994875
0.002111084,0.00804221,138779.609,2000,0.53775996,2.94E-01,1.51E-17,1.62E-01,4.16E-12,0.005966032
0.002279455,0.008504806,138778.953,2000,0.538477659,2.94E-01,2.28E-17,1.62E-01,5.65E-12,0.005943231
0.002447826,0.008967401,138778.281,2000,0.539099395,2.93E-01,3.34E-17,1.62E-01,7.23E-12,0.005925436
0.002616197,0.009429997,138777.578,2000,0.539638579,2.93E-01,4.09E-17,1.61E-01,8.55E-12,0.005911693
0.002784568,0.009892592,138776.844,2000,0.540108562,2.93E-01,4.42E-17,1.61E-01,9.40E-12,0.005900886
0.002952939,0.010355189,138776.094,2000,0.540523827,2.92E-01,4.81E-17,1.61E-01,9.64E-12,0.005891529
0.00312131,0.010817784,138775.297,2000,0.540898979,2.92E-01,4.79E-17,1.61E-01,9.14E-12,0.005882393
0.003289681,0.011280379,138774.484,2000,0.541249037,2.92E-01,3.78E-17,1.61E-01,6.89E-12,0.005872134
0.003458052,0.011742976,138773.625,2000,0.541587532,2.92E-01,1.60E-17,1.61E-01,4.21E-12,0.005859521
0.003626423,0.012205571,138772.75,2000,0.541924536,2.92E-01,6.29E-18,1.61E-01,3.55E-12,0.005844195
0.003794794,0.012668166,138771.812,2000,0.542265475,2.91E-01,1.01E-17,1.61E-01,3.33E-12,0.005826321
0.003963165,0.013130762,138770.859,2000,0.542610168,2.91E-01,6.43E-18,1.60E-01,5.19E-12,0.005806698
0.004131536,0.013593358,138769.844,2000,0.542952597,2.91E-01,2.88E-18,1.60E-01,9.17E-12,0.005786732
0.004299907,0.014055953,138768.781,2000,0.543281734,2.91E-01,2.40E-18,1.60E-01,1.13E-11,0.005768269
0.004468278,0.014518549,138767.688,2000,0.543582857,2.90E-01,1.85E-18,1.60E-01,9.72E-12,0.005753023
0.00463665,0.014981144,138766.531,2000,0.54383868,2.90E-01,2.21E-18,1.60E-01,6.67E-12,0.005742531
0.004805021,0.01544374,138765.312,2000,0.544030666,2.90E-01,2.66E-18,1.60E-01,4.99E-12,0.005738078
0.004973392,0.015906336,138764.047,2000,0.544140041,2.90E-01,3.46E-18,1.60E-01,4.27E-12,0.005741472
0.005141763,0.016368931,138762.703,2000,0.544148922,2.90E-01,5.62E-18,1.60E-01,3.98E-12,0.005754367
0.005310134,0.016831527,138761.281,2000,0.544041455,2.90E-01,8.28E-18,1.60E-01,3.34E-12,0.005777503
0.005478505,0.017294122,138759.766,2000,0.54380393,2.90E-01,9.28E-18,1.60E-01,2.89E-12,0.00581171
0.005646876,0.017756717,138758.172,2000,0.54342556,2.91E-01,5.97E-18,1.60E-01,2.89E-12,0.005857645
0.005815247,0.018219313,138756.453,2000,0.542898595,2.91E-01,2.46E-18,1.60E-01,2.60E-12,0.005915793
0.005983618,0.01868191,138754.625,2000,0.542217612,2.91E-01,3.16E-18,1.60E-01,2.96E-12,0.005986648
0.006151989,0.019144505,138752.641,2000,0.541378438,2.92E-01,5.24E-18,1.61E-01,3.97E-12,0.006070957
0.00632036,0.019607101,138750.5,2000,0.5403772,2.93E-01,6.74E-18,1.61E-01,4.96E-12,0.006169732
0.006488731,0.020069696,138748.156,2000,0.539208174,2.93E-01,7.03E-18,1.61E-01,5.91E-12,0.006284402
0.006657102,0.020532291,138745.578,2000,0.53786087,2.94E-01,4.64E-18,1.62E-01,6.38E-12,0.006417457
0.006825473,0.020994887,138742.703,2000,0.536315262,2.95E-01,1.59E-18,1.62E-01,5.83E-12,0.006573036
0.006993844,0.021457482,138739.484,2000,0.53453362,2.96E-01,1.19E-18,1.62E-01,4.54E-12,0.006758522
0.007162215,0.021920078,138735.797,2000,0.532447696,2.98E-01,1.98E-18,1.63E-01,4.46E-12,0.00698795
0.007330586,0.022382675,138731.5,2000,0.529941499,2.99E-01,2.97E-18,1.64E-01,5.63E-12,0.007288883
0.007498957,0.02284527,138726.297,2000,0.526838183,3.01E-01,9.98E-18,1.64E-01,6.92E-12,0.007715144
0.007667328,0.023307866,138719.969,2000,0.522919536,3.04E-01,2.58E-17,1.65E-01,8.77E-12,0.008363196
0.007835699,0.023770461,138712.25,2000,0.518071413,3.07E-01,4.80E-17,1.66E-01,1.13E-11,0.009349505
0.00800407,0.024233056,138700.141,2000,0.512580991,3.10E-01,7.41E-17,1.67E-01,1.44E-11,0.010613295
0.008181086,0.024692107,138675.641,2000,0.51026994,3.12E-01,6.48E-17,1.67E-01,1.22E-11,0.010558142
0.008481006,0.025078727,138648.281,2000,0.514676154,3.09E-01,2.82E-17,1.68E-01,5.80E-12,0.008304568
0.008903161,0.025326142,138643.344,2000,0.537394762,2.94E-01,1.06E-17,1.63E-01,2.40E-12,0.00497648
0.009387037,0.025398886,138652.641,2000,0.589160383,2.61E-01,5.81E-18,1.47E-01,1.27E-12,0.002447184
0.009864527,0.02528597,138657.609,2000,0.638781369,2.30E-01,4.04E-18,1.30E-01,1.16E-12,0.001826219
0.01026552,0.025003213,138660.562,2000,0.661377788,2.15E-01,2.68E-18,1.21E-01,1.25E-12,0.00209237
0.010602244,0.024642311,138662.594,2000,0.670210421,2.10E-01,1.35E-18,1.18E-01,1.15E-12,0.002280994
0.010941241,0.024283456,138663.391,2000,0.674846172,2.07E-01,7.26E-19,1.16E-01,1.76E-12,0.002284032
0.011280237,0.0239246,138663.688,2000,0.677765012,2.05E-01,4.79E-19,1.15E-01,4.33E-12,0.002200605
0.011619234,0.023565745,138663.734,2000,0.679950893,2.04E-01,1.66E-19,1.14E-01,6.31E-12,0.002075647
0.01195823,0.02320689,138663.703,2000,0.681688309,2.03E-01,1.64E-19,1.14E-01,5.65E-12,0.001945228
0.012297227,0.022848036,138663.625,2000,0.682932913,2.02E-01,2.80E-19,1.13E-01,3.88E-12,0.001829232
0.012636223,0.022489181,138663.547,2000,0.68356216,2.01E-01,3.03E-19,1.13E-01,2.46E-12,0.001741402
0.01297522,0.022130325,138663.484,2000,0.683478713,2.01E-01,2.63E-19,1.13E-01,1.56E-12,0.001683629
0.013314216,0.02177147,138663.406,2000,0.682652056,2.02E-01,4.12E-19,1.14E-01,1.12E-12,0.001650523
0.013653213,0.021412615,138663.328,2000,0.681129813,2.03E-01,9.88E-19,1.14E-01,9.83E-13,0.001640588
0.01399221,0.021053761,138663.25,2000,0.679009616,2.04E-01,1.19E-18,1.15E-01,8.08E-13,0.001649129
0.014331206,0.020694906,138663.188,2000,0.676414847,2.06E-01,5.25E-19,1.16E-01,7.26E-13,0.001672183
0.014670203,0.020336051,138663.109,2000,0.673474491,2.08E-01,2.87E-19,1.17E-01,9.73E-13,0.001706613
0.015009199,0.019977195,138663.031,2000,0.670309663,2.10E-01,7.29E-19,1.18E-01,1.42E-12,0.001749974
0.015348196,0.01961834,138662.969,2000,0.667025924,2.12E-01,9.83E-19,1.19E-01,1.67E-12,0.001800334
0.015687192,0.019259485,138662.891,2000,0.663709879,2.14E-01,9.57E-19,1.20E-01,1.94E-12,0.001855807
0.016026188,0.018900631,138662.844,2000,0.660428762,2.16E-01,7.76E-19,1.22E-01,2.31E-12,0.001915003
0.016365185,0.018541776,138662.781,2000,0.657232285,2.18E-01,4.94E-19,1.23E-01,2.42E-12,0.001976958
0.016704181,0.01818292,138662.75,2000,0.654155374,2.20E-01,1.72E-19,1.24E-01,1.94E-12,0.002040803
0.017043179,0.017824065,138662.719,2000,0.651221991,2.22E-01,1.30E-20,1.25E-01,1.67E-12,0.002105631
0.017382175,0.01746521,138662.688,2000,0.648446262,2.24E-01,1.57E-19,1.26E-01,1.72E-12,0.002170693
0.017721171,0.017106356,138662.688,2000,0.645835102,2.25E-01,4.08E-19,1.27E-01,1.58E-12,0.002235588
0.018060168,0.016747501,138662.703,2000,0.643392563,2.27E-01,4.94E-19,1.27E-01,1.72E-12,0.002299917
0.018399164,0.016388645,138662.734,2000,0.641120017,2.28E-01,5.59E-19,1.28E-01,1.85E-12,0.002363454
0.018738162,0.01602979,138662.781,2000,0.639016807,2.30E-01,6.46E-19,1.29E-01,1.55E-12,0.00242594
0.019077158,0.015670935,138662.844,2000,0.637081861,2.31E-01,6.37E-19,1.29E-01,1.15E-12,0.002487106
0.019416153,0.015312081,138662.938,2000,0.635314047,2.32E-01,6.02E-19,1.30E-01,8.76E-13,0.00254679
0.019755151,0.014953226,138663.047,2000,0.633712709,2.33E-01,5.82E-19,1.31E-01,7.66E-13,0.00260489
0.020094147,0.014594371,138663.172,2000,0.632278025,2.34E-01,8.15E-19,1.31E-01,8.69E-13,0.002661295
0.020433145,0.014235516,138663.328,2000,0.631011426,2.35E-01,1.53E-18,1.31E-01,1.18E-12,0.002715874
0.020772141,0.013876661,138663.516,2000,0.629915595,2.36E-01,2.25E-18,1.32E-01,1.56E-12,0.002768588
0.021111136,0.013517805,138663.719,2000,0.628994763,2.36E-01,3.14E-18,1.32E-01,1.96E-12,0.002819255
0.021450134,0.013158951,138663.938,2000,0.62825495,2.37E-01,5.55E-18,1.32E-01,2.53E-12,0.002867666
0.02178913,0.012800096,138664.188,2000,0.627703965,2.37E-01,9.15E-18,1.32E-01,3.00E-12,0.002913769
0.022128128,0.012441241,138664.469,2000,0.627352059,2.37E-01,1.02E-17,1.33E-01,2.90E-12,0.002957055
0.022467123,0.012082386,138664.766,2000,0.627210677,2.37E-01,9.14E-18,1.33E-01,2.61E-12,0.002996696
0.022806119,0.011723531,138665.094,2000,0.627295732,2.37E-01,9.69E-18,1.32E-01,2.56E-12,0.003033671
0.023145117,0.011364676,138665.438,2000,0.627626419,2.37E-01,1.04E-17,1.32E-01,2.54E-12,0.003067506
0.023484113,0.011005821,138665.797,2000,0.628223181,2.37E-01,1.05E-17,1.32E-01,2.35E-12,0.00309623
0.023823109,0.010646965,138666.172,2000,0.629111767,2.36E-01,1.06E-17,1.32E-01,2.17E-12,0.003119434
0.024162106,0.010288111,138666.547,2000,0.63032198,2.35E-01,9.19E-18,1.31E-01,2.47E-12,0.003136225
0.024501102,0.009929256,138666.938,2000,0.631887972,2.34E-01,5.15E-18,1.31E-01,3.57E-12,0.003145039
0.0248401,0.009570401,138667.297,2000,0.633848846,2.33E-01,1.88E-18,1.30E-01,4.96E-12,0.003143979
0.025179096,0.009211546,138667.656,2000,0.636248767,2.31E-01,1.69E-18,1.29E-01,5.68E-12,0.003130825
0.025518091,0.00885269,138667.969,2000,0.639136732,2.30E-01,2.20E-18,1.28E-01,5.53E-12,0.00310287
0.025857089,0.008493836,138668.234,2000,0.64256531,2.27E-01,2.37E-18,1.27E-01,4.99E-12,0.003057066
0.026196085,0.008134981,138668.422,2000,0.646588147,2.25E-01,2.33E-18,1.26E-01,4.48E-12,0.002990385
0.026535083,0.007776126,138668.531,2000,0.651255548,2.22E-01,2.30E-18,1.24E-01,3.92E-12,0.002900298
0.026874078,0.007417271,138668.547,2000,0.656606555,2.19E-01,2.35E-18,1.22E-01,3.28E-12,0.002785748
0.027213074,0.007058416,138668.469,2000,0.662663817,2.15E-01,2.31E-18,1.20E-01,2.63E-12,0.002647394
0.027552072,0.006699561,138668.297,2000,0.6694296,2.10E-01,1.94E-18,1.18E-01,1.96E-12,0.002488216
0.027891068,0.006340706,138668.078,2000,0.676882923,2.06E-01,1.30E-18,1.15E-01,1.19E-12,0.002313422
0.028230066,0.005981851,138667.828,2000,0.684987664,2.00E-01,6.61E-19,1.12E-01,7.50E-13,0.002126147
0.028569061,0.005622996,138667.594,2000,0.69369477,1.95E-01,6.55E-19,1.09E-01,7.33E-13,0.00191538
0.028908057,0.005264141,138667.359,2000,0.703833103,1.88E-01,8.66E-19,1.06E-01,1.30E-12,0.001550665
0.029407334,0.005264141,138667.172,2000,0.713470161,1.82E-01,7.62E-19,1.03E-01,2.26E-12,0.001222487
0.02990661,0.005264141,138667.062,2000,0.718966365,1.79E-01,5.99E-19,1.01E-01,2.43E-12,0.001122196
0.030405887,0.005264141,138666.953,2000,0.720019698,1.78E-01,4.62E-19,1.01E-01,1.86E-12,0.001106449
0.030905163,0.005264141,138666.844,2000,0.717934251,1.79E-01,4.46E-19,1.01E-01,1.37E-12,0.001135193
0.031404436,0.005264141,138666.719,2000,0.714080811,1.82E-01,4.48E-19,1.03E-01,1.28E-12,0.001184338
0.031903714,0.005264141,138666.578,2000,0.70947957,1.85E-01,3.23E-19,1.04E-01,1.26E-12,0.00124072
0.032402989,0.005264141,138666.438,2000,0.704757571,1.88E-01,2.29E-19,1.06E-01,1.32E-12,0.001298586
0.032902267,0.005264141,138666.281,2000,0.700236022,1.91E-01,1.70E-19,1.08E-01,1.35E-12,0.001355811
0.033401541,0.005264141,138666.125,2000,0.696049392,1.93E-01,1.03E-19,1.09E-01,1.16E-12,0.00141178
0.033900816,0.005264141,138665.969,2000,0.69223237,1.96E-01,1.37E-19,1.10E-01,1.09E-12,0.00146619
0.034400094,0.005264141,138665.812,2000,0.688773334,1.98E-01,1.44E-19,1.12E-01,1.19E-12,0.001518772
0.034899369,0.005264141,138665.641,2000,0.685642481,2.00E-01,9.76E-20,1.13E-01,1.18E-12,0.001569362
0.035398647,0.005264141,138665.484,2000,0.682805479,2.02E-01,2.67E-19,1.14E-01,1.09E-12,0.001617853
