x,y,P,T,CO2,CO,C2,O2,C,O
3.68E-10,8.12E-17,1,1,0.519308031,0.306004524,4.45E-18,0.167235747,5.13E-11,0.007451632
0.000155931,0.014381689,1,1,0.518291652,0.306651533,4.46E-18,0.167486608,5.18E-11,0.007570135
0.000623649,0.028756615,1,1,0.51617676,0.307997882,4.47E-18,0.168030083,5.28E-11,0.007795225
0.001402934,0.043118022,1,1,0.51438278,0.309139907,4.49E-18,0.168529555,5.36E-11,0.007947708
0.002493421,0.057459157,1,1,0.513296247,0.30983156,4.49E-18,0.16886206,5.39E-11,0.008010041
0.003894596,0.071773276,1,1,0.51268822,0.310218662,4.49E-18,0.169060901,5.41E-11,0.008032172
0.005605801,0.086053647,1,1,0.512333572,0.310444444,4.49E-18,0.16917862,5.41E-11,0.008043342
0.007626232,0.100293562,1,1,0.512100518,0.310592771,4.48E-18,0.169252351,5.41E-11,0.008054295
0.009954937,0.114486322,1,1,0.511928618,0.310702205,4.47E-18,0.169300154,5.42E-11,0.008068977
0.012590823,0.128625244,1,1,0.51177752,0.310798377,4.46E-18,0.169331789,5.42E-11,0.008092242
0.01553265,0.142703712,1,1,0.511644483,0.310883105,4.45E-18,0.169355184,5.43E-11,0.008117195
0.018779034,0.156715065,1,1,0.511587024,0.310919672,4.45E-18,0.169369221,5.43E-11,0.008124036
0.022328451,0.170652747,1,1,0.511716902,0.310836971,4.44E-18,0.169359878,5.42E-11,0.008086174
0.02617923,0.184510201,1,1,0.512173593,0.310546279,4.44E-18,0.169309318,5.39E-11,0.007970782
0.030329561,0.198280886,1,1,0.513074994,0.309972435,4.45E-18,0.169182152,5.32E-11,0.007770379
0.034777492,0.211958364,1,1,0.514704108,0.308935344,4.47E-18,0.168921411,5.21E-11,0.007439082
0.039520934,0.225536183,1,1,0.51770246,0.307026625,4.55E-18,0.168467656,5.02E-11,0.006803224
0.044438738,0.239052117,1,1,0.522338748,0.304075181,4.63E-18,0.167543083,4.71E-11,0.00604291
0.049357951,0.25256753,1,1,0.527798474,0.300599575,4.58E-18,0.166056544,4.36E-11,0.00554535
0.054277163,0.266082972,1,1,0.533253968,0.297126681,4.45E-18,0.164326429,4.11E-11,0.005292892
0.059196375,0.279598385,1,1,0.538489044,0.293794066,4.36E-18,0.162582085,3.96E-11,0.005134764
0.064115591,0.293113798,1,1,0.543394744,0.29067114,4.30E-18,0.160920426,3.87E-11,0.005013653
0.0690348,0.306629241,1,1,0.547909141,0.287797302,4.25E-18,0.159381628,3.80E-11,0.004911872
0.073954016,0.320144653,1,1,0.552016973,0.285182297,4.22E-18,0.157978192,3.74E-11,0.004822511
0.078873225,0.333660096,1,1,0.555738032,0.282813489,4.19E-18,0.1567076,3.69E-11,0.004740817
0.083792441,0.347175509,1,1,0.559098542,0.280674219,4.16E-18,0.155560911,3.65E-11,0.004666283
0.088711649,0.360690951,1,1,0.562117577,0.278752327,4.14E-18,0.154529899,3.60E-11,0.004600156
0.093630865,0.374206364,1,1,0.564819098,0.277032554,4.12E-18,0.153606787,3.57E-11,0.004541505
0.098550081,0.387721807,1,1,0.567236722,0.275493532,4.10E-18,0.152781516,3.54E-11,0.00448821
0.10346929,0.40123722,1,1,0.569406152,0.274112463,4.08E-18,0.152042374,3.50E-11,0.004438952
0.108388506,0.414752662,1,1,0.571360946,0.272868067,4.07E-18,0.151377991,3.48E-11,0.004392962
0.113307714,0.428268075,1,1,0.57313472,0.271738857,4.05E-18,0.150777012,3.45E-11,0.004349323
0.11822693,0.441783488,1,1,0.57475996,0.270704299,4.04E-18,0.150228664,3.43E-11,0.004307067
0.123146139,0.45529893,1,1,0.576263845,0.2697469,4.03E-18,0.14972347,3.40E-11,0.00426572
0.128065348,0.468814343,1,1,0.577669263,0.268852204,4.02E-18,0.14925313,3.38E-11,0.004225326
0.132984564,0.482329786,1,1,0.57899344,0.268009245,4.02E-18,0.148811162,3.36E-11,0.004186077
0.13790378,0.495845199,1,1,0.580249608,0.267209589,4.01E-18,0.148392692,3.33E-11,0.004148055
0.142822996,0.509360611,1,1,0.581448257,0.266446531,4.00E-18,0.147993863,3.31E-11,0.004111285
0.147742197,0.522876024,1,1,0.582596898,0.265715301,3.99E-18,0.147611856,3.29E-11,0.004075869
0.152661413,0.536391497,1,1,0.583700895,0.265012532,3.98E-18,0.147244662,3.27E-11,0.004041873
0.157580629,0.549906909,1,1,0.584763885,0.264335841,3.98E-18,0.146890879,3.25E-11,0.004009353
0.162499845,0.563422322,1,1,0.585788488,0.263683587,3.97E-18,0.146549582,3.23E-11,0.0039783
0.167419061,0.576937735,1,1,0.586777568,0.263053954,3.96E-18,0.146219939,3.21E-11,0.003948513
0.172338262,0.590453148,1,1,0.587734222,0.262444943,3.96E-18,0.145901039,3.19E-11,0.003919754
0.177257478,0.60396862,1,1,0.58866179,0.26185444,3.95E-18,0.14559187,3.18E-11,0.003891851
0.182176694,0.617484033,1,1,0.589563012,0.261280745,3.94E-18,0.145291448,3.16E-11,0.003864764
0.18709591,0.630999446,1,1,0.590439558,0.260722727,3.94E-18,0.144999072,3.14E-11,0.003838591
0.192015111,0.644514859,1,1,0.591292143,0.260179996,3.93E-18,0.144714385,3.13E-11,0.003813446
0.196934327,0.658030331,1,1,0.592121303,0.259652138,3.93E-18,0.144437224,3.11E-11,0.003789289
0.201853544,0.671545744,1,1,0.59292829,0.259138435,3.92E-18,0.144167319,3.10E-11,0.003765929
0.20677276,0.685061157,1,1,0.593714893,0.258637667,3.92E-18,0.143904194,3.08E-11,0.003743194
0.211691976,0.69857657,1,1,0.594482601,0.258148938,3.91E-18,0.143647358,3.07E-11,0.003721047
0.216611177,0.712091982,1,1,0.595232189,0.257671744,3.91E-18,0.143396422,3.06E-11,0.003699573
0.221530393,0.725607455,1,1,0.595963776,0.257206053,3.90E-18,0.143151283,3.04E-11,0.003678858
0.226449609,0.739122868,1,1,0.596677244,0.256751835,3.90E-18,0.142911956,3.03E-11,0.003658898
0.231368825,0.75263828,1,1,0.597373068,0.256308913,3.89E-18,0.142678425,3.02E-11,0.003639581
0.236288041,0.766153693,1,1,0.598051965,0.25587669,3.89E-18,0.142450497,3.01E-11,0.003620773
0.241207242,0.779669166,1,1,0.59871465,0.255454868,3.88E-18,0.142227978,3.00E-11,0.003602484
0.246126458,0.793184578,1,1,0.599360764,0.255043507,3.88E-18,0.142010763,2.98E-11,0.003584881
0.251045674,0.806699991,1,1,0.599989057,0.254643589,3.87E-18,0.141799197,2.97E-11,0.003568136
0.255964875,0.820215404,1,1,0.600598276,0.254255742,3.87E-18,0.14159368,2.96E-11,0.003552268
0.260884106,0.833730876,1,1,0.6011886,0.253879935,3.86E-18,0.141394258,2.95E-11,0.003537143
0.265803307,0.847246289,1,1,0.601759911,0.253516227,3.86E-18,0.141201168,2.94E-11,0.003522619
0.270722508,0.860761702,1,1,0.602314174,0.253163427,3.85E-18,0.141013741,2.93E-11,0.003508638
