x,P,T,CO2,CO,C2,O2,C,O
-0.25,138701.984,3188.09644,0.436179608,0.358848363,1.03E-16,0.168837264,5.45E-11,0.036134712
-0.24499999,138702.016,3187.37256,0.436462611,0.358668208,2.32E-16,0.16855216,1.23E-10,0.036316976
-0.239999995,138702.031,3187.6084,0.436631292,0.35856083,2.58E-16,0.168421194,1.37E-10,0.036386643
-0.23501806,138702.031,3187.67896,0.436684012,0.358527273,2.59E-16,0.168398306,1.37E-10,0.03639036
-0.230057642,138702.031,3187.68994,0.436692655,0.35852176,2.59E-16,0.168393597,1.37E-10,0.036391944
-0.225122169,138702.047,3187.68433,0.436693639,0.358521134,2.59E-16,0.168393224,1.37E-10,0.036391955
-0.220214963,138702.062,3187.68066,0.436693341,0.358521342,2.59E-16,0.168393299,1.37E-10,0.036391992
-0.215339288,138702.078,3187.67896,0.436693132,0.358521461,2.59E-16,0.168393344,1.37E-10,0.036392015
-0.210498288,138702.109,3187.67822,0.436692983,0.358521551,2.59E-16,0.168393388,1.37E-10,0.036392026
-0.205695078,138702.125,3187.67822,0.436692894,0.35852161,2.59E-16,0.168393418,1.37E-10,0.036392026
-0.200932592,138702.156,3187.67871,0.436692804,0.35852167,2.59E-16,0.168393463,1.37E-10,0.036392018
-0.196213722,138702.188,3187.6792,0.436692744,0.35852173,2.59E-16,0.168393508,1.37E-10,0.036392003
-0.19154121,138702.234,3187.67993,0.436692655,0.35852176,2.59E-16,0.168393552,1.37E-10,0.036391981
-0.186917678,138702.281,3187.68066,0.436692595,0.358521819,2.59E-16,0.168393597,1.37E-10,0.036391959
-0.182345644,138702.328,3187.6814,0.436692536,0.358521849,2.59E-16,0.168393642,1.37E-10,0.036391936
-0.177827492,138702.375,3187.68213,0.436692476,0.358521879,2.59E-16,0.168393701,1.37E-10,0.03639191
-0.173365444,138702.438,3187.68286,0.436692387,0.358521938,2.59E-16,0.168393746,1.37E-10,0.036391888
-0.168961629,138702.5,3187.68359,0.436692327,0.358521968,2.59E-16,0.168393791,1.37E-10,0.036391866
-0.164618015,138702.562,3187.68433,0.436692238,0.358522028,2.59E-16,0.168393835,1.37E-10,0.036391843
