x,P,T,CO2,CO,C2,O2,C,O
-0.049999997,396.799988,236.099991,1,0,0.00E+00,0,0.00E+00,0
-0.048959967,396.799988,236.099991,1,0,0.00E+00,0,0.00E+00,0
-0.047941569,396.799988,236.099991,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-0.046944358,396.799988,236.099991,1,0,0.00E+00,0,0.00E+00,0
-0.045967892,396.799988,236.099991,1,0,0.00E+00,0,0.00E+00,0
-0.045011737,396.799988,236.099991,1,0,0.00E+00,0,0.00E+00,0
-0.04407547,396.799988,236.099991,1,0,0,0,0,0.00E+00
-0.04315868,396.799988,236.099991,1,0,0,0,0,0.00E+00
-0.042260964,396.799988,236.099991,1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
-0.041381918,396.799988,236.099991,1,0,0.00E+00,0,0.00E+00,0
-0.04052116,396.799988,236.099991,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-0.039678305,396.799988,236.099991,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-0.038852986,396.799988,236.099991,0.99999994,0,0.00E+00,0,0.00E+00,2.22E-16
-0.038044836,396.799988,236.099991,0.99999994,3.22E-22,0.00E+00,1.14E-23,0.00E+00,2.22E-16
-0.037253495,396.799988,236.099991,0.99999994,7.88E-19,0.00E+00,2.77E-20,4.49E-23,2.22E-16
-0.036478616,396.799988,236.099991,0.99999994,1.89E-15,6.00E-23,6.65E-17,1.07E-19,1.11E-15
-0.035719857,396.800018,236.099991,0.99999994,2.49E-12,7.91E-20,8.78E-14,1.42E-16,1.34E-12
-0.034976877,396.805756,236.1017,0.99999994,1.11E-09,3.54E-17,3.90E-11,6.34E-14,5.94E-10
-0.034249358,397.466919,236.389069,0.999999583,2.33E-07,7.51E-15,8.19E-09,1.34E-11,1.25E-07
-0.033536971,466.819275,273.107849,0.999946475,3.41E-05,1.11E-12,1.20E-06,1.99E-09,1.83E-05
-0.032839403,2370.98291,933.879883,0.998079956,1.22E-03,3.93E-11,4.28E-05,7.06E-08,6.55E-04
-0.032156345,18711.6211,2864.04834,0.98588115,0.008986791,2.79E-10,0.00029242,5.09E-07,0.004839123
-0.031487495,63335.2578,4617.89844,0.955690503,0.028203301,8.80E-10,0.000682298,1.65E-06,0.015422209
-0.030832559,108695.32,5036.4541,0.918158531,0.052092921,1.51E-09,0.001019387,2.94E-06,2.87E-02
-0.030191246,126384.609,4910.18262,0.883254826,7.43E-02,1.77E-09,1.40E-03,3.63E-06,4.10E-02
-0.029563274,129107.211,4677.12354,0.847401738,0.097133949,1.77E-09,0.002076054,3.76E-06,0.053384442
-0.028948365,129670.047,4391.74463,0.809051156,0.121547759,1.70E-09,0.003511193,3.65E-06,0.065886222
-0.028346248,130205.164,4121.29004,0.772529244,0.144797698,1.62E-09,0.006144429,3.48E-06,0.0765251
-0.027756656,130659.07,3914.78101,0.742501736,0.163913518,1.53E-09,0.009998359,3.30E-06,0.083583064
-0.027179327,131027.438,3771.67334,0.719055772,0.178839415,1.44E-09,0.014723062,3.11E-06,0.087378584
-0.026614009,131319.922,3673.57617,0.700434625,0.1906939,1.36E-09,0.019931527,2.92E-06,0.088936962
-0.026060449,131560.734,3604.58936,0.684971035,0.200538471,1.28E-09,0.025354983,2.75E-06,0.089132756
-0.025518404,131765.906,3554.38989,0.671649694,0.209019139,1.20E-09,0.030837001,2.57E-06,0.088491552
-0.024987636,131945.172,3516.66211,0.659869552,0.2165187,1.12E-09,0.036283769,2.41E-06,8.73E-02
-0.024467908,132104.672,3487.49634,0.649225116,0.223295271,1.04E-09,0.041635871,2.25E-06,8.58E-02
-0.02395899,132248.438,3464.38379,0.639466107,0.229508147,9.74E-10,0.046861406,2.09E-06,0.084162235
-0.023460658,132379.297,3445.65088,0.63042897,0.23526144,9.06E-10,0.051941421,1.94E-06,0.082366191
-0.022972694,132499.344,3430.14502,0.621992052,0.240632638,8.41E-10,0.056864429,1.80E-06,0.080509052
-0.022494881,132610.156,3417.05151,0.614066184,0.245678484,7.79E-10,0.061623681,1.67E-06,0.078629948
-0.022027005,132712.844,3405.7832,0.606585205,2.50E-01,7.20E-10,6.62E-02,1.54E-06,7.68E-02
-0.021568861,132808.328,3395.90942,0.599498808,0.25495249,6.64E-10,0.07063897,1.42E-06,7.49E-02
-0.021120248,132897.359,3387.1106,0.592768312,0.259237349,6.11E-10,0.074894011,1.31E-06,7.31E-02
-0.020680968,132980.547,3379.14697,0.586362898,2.63E-01,5.61E-10,7.90E-02,1.20E-06,7.13E-02
-0.020250825,133058.406,3371.83838,0.580257297,0.267202228,5.15E-10,0.082906209,1.10E-06,6.96E-02
-0.019829629,133131.391,3365.0481,0.574430168,0.270911962,4.70E-10,0.086669013,1.01E-06,0.067987822
-0.019417195,133199.844,3358.67236,0.568864286,2.74E-01,4.29E-10,9.03E-02,9.18E-07,6.64E-02
-0.019013338,133264.141,3352.63257,0.563544929,0.277841806,3.90E-10,0.093726523,8.35E-07,0.064885877
-0.018617883,133324.594,3346.86841,0.558458924,0.28107965,3.54E-10,0.097029813,7.57E-07,0.063430764
-0.018230654,133381.453,3341.33398,0.553594589,0.284176409,3.21E-10,0.100188956,6.85E-07,0.062039275
-0.017851479,133434.953,3335.99512,0.548941195,0.287138879,2.90E-10,0.103208765,6.18E-07,0.060710467
-0.017480193,133485.266,3330.8252,0.544488907,0.289973319,2.61E-10,0.106094159,5.56E-07,0.05944299
-0.017116629,133532.641,3325.80493,0.540228665,0.292685479,2.34E-10,0.108850107,4.99E-07,5.82E-02
-0.016760629,133577.266,3320.91992,0.536151946,0.295280814,2.10E-10,0.111481585,4.47E-07,5.71E-02
-0.016412031,133619.297,3316.15918,0.532250702,0.297764421,1.87E-10,0.113993555,3.99E-07,0.05599086
-0.016070686,133658.922,3311.51489,0.528517425,3.00E-01,1.67E-10,1.16E-01,3.55E-07,5.50E-02
-0.01573644,133696.281,3306.98145,0.524944842,3.02E-01,1.48E-10,1.19E-01,3.15E-07,5.40E-02
-0.015409149,133731.516,3302.55444,0.521526039,3.05E-01,1.31E-10,1.21E-01,2.78E-07,5.30E-02
-0.015088664,133764.75,3298.23145,0.518254459,0.306674689,1.15E-10,0.122942843,2.45E-07,0.052127738
-0.014774846,133796.094,3294.01025,0.515123785,0.30866769,1.01E-10,0.124928772,2.15E-07,0.051279485
-0.014467555,133825.672,3289.8894,0.512127638,0.310575098,8.89E-11,0.126823008,1.89E-07,5.05E-02
-0.014166656,133853.578,3285.86816,0.509260416,0.312400401,7.76E-11,0.128629759,1.64E-07,0.049709227
-0.013872015,133879.906,3281.9458,0.50651747,0.314146549,6.75E-11,0.130353034,1.43E-07,0.048982717
-0.013583504,133904.734,3278.12061,0.503893554,0.315816998,5.85E-11,0.131996676,1.24E-07,0.048292622
-0.013300993,133928.172,3274.39209,0.501382768,0.317415357,5.05E-11,0.133564398,1.07E-07,4.76E-02
-0.013024358,133950.344,3270.76001,0.498980165,0.318944871,4.34E-11,0.135059774,9.18E-08,4.70E-02
-0.012753478,133971.297,3267.22461,0.496680915,0.320408583,3.72E-11,0.136486217,7.86E-08,0.046424169
-0.012488232,133991.078,3263.78491,0.49448064,0.321809292,3.18E-11,0.137847006,6.71E-08,0.045862958
-0.012228503,134009.781,3260.44043,0.492375076,0.323149681,2.70E-11,0.13914521,5.69E-08,0.045329925
-0.011974176,134027.438,3257.19019,0.490360051,0.324432462,2.28E-11,0.140383974,4.81E-08,4.48E-02
-0.011725139,134044.125,3254.0332,0.488431662,0.32566008,1.92E-11,0.141566262,4.05E-08,0.044341926
-0.011481281,134059.891,3250.96851,0.486586154,0.326834917,1.61E-11,0.142694518,3.40E-08,0.043884333
-0.011242497,134074.797,3247.99487,0.484819949,0.327959299,1.35E-11,0.143771216,2.84E-08,0.04344948
-0.011008678,134088.891,3245.11084,0.48312965,0.329035342,1.12E-11,0.144798785,2.36E-08,0.04303617
-0.010779723,134102.219,3242.31543,0.481511891,0.330065191,9.26E-12,1.46E-01,1.95E-08,4.26E-02
-0.010555529,134114.812,3239.60718,0.479963541,3.31E-01,7.61E-12,1.47E-01,1.61E-08,4.23E-02
-0.010335999,134126.719,3236.98462,0.47848165,0.331994236,6.23E-12,0.147609577,1.32E-08,4.19E-02
-0.010121035,134137.984,3234.44629,0.477063328,3.33E-01,5.08E-12,1.48E-01,1.08E-08,4.16E-02
-0.009910541,134148.641,3231.99048,0.475705892,0.333761245,4.12E-12,0.149277613,8.79E-09,4.13E-02
-0.009704425,134158.719,3229.61548,0.474406689,3.35E-01,3.33E-12,0.150055587,7.12E-09,4.09E-02
-0.009502596,134168.25,3227.31958,0.473163217,0.335379899,2.67E-12,0.150798514,5.75E-09,0.040658306
-0.009304965,134177.281,3225.10059,0.471973091,0.336137533,2.14E-12,0.151508033,4.62E-09,4.04E-02
-0.009111444,134185.828,3222.95703,0.470834047,0.336862624,1.70E-12,0.152185693,3.70E-09,4.01E-02
-0.008921948,134193.906,3220.88745,0.469743907,0.337556601,1.34E-12,0.152832985,2.95E-09,0.039866444
-0.008736393,134201.562,3218.8877,0.468700439,0.338220865,1.05E-12,0.15345116,2.35E-09,0.039627474
-0.008554697,134208.797,3216.94946,0.467701346,0.338856876,8.23E-13,0.154041275,1.87E-09,0.039400429
-0.00837678,134215.656,3215.06982,0.466744632,0.339465946,6.39E-13,0.154604599,1.48E-09,0.039184801
-0.008202563,134222.156,3213.24927,0.465828449,0.340049177,4.93E-13,0.155142456,1.18E-09,3.90E-02
-0.008031969,134228.312,3211.48779,0.464951128,3.41E-01,3.79E-13,1.56E-01,9.37E-10,3.88E-02
-0.007864922,134234.141,3209.78589,0.46411112,3.41E-01,2.89E-13,1.56E-01,7.50E-10,3.86E-02
-0.00770135,134239.656,3208.14258,0.463306844,0.34165439,2.19E-13,0.156615898,6.04E-10,3.84E-02
-0.007541179,134244.891,3206.55786,0.462536812,0.342144579,1.65E-13,0.157063976,4.91E-10,0.038254567
-0.007384339,134249.828,3205.03027,0.461799651,3.43E-01,1.23E-13,1.57E-01,4.04E-10,3.81E-02
-0.007230761,134254.266,3203.55811,0.461093962,0.343063086,9.19E-14,0.157901704,3.37E-10,0.037941191
-0.007080377,134258.203,3202.14014,0.460418493,0.343493104,6.79E-14,0.158293143,2.87E-10,0.037795223
-0.006933119,134261.891,3200.77588,0.459771931,0.343904704,4.99E-14,0.158667147,2.49E-10,3.77E-02
-0.006788923,134265.375,3199.46436,0.459153056,0.344298661,3.65E-14,0.159024522,2.20E-10,0.037523717
-0.006647727,134268.688,3198.20386,0.458560765,0.34467569,2.65E-14,1.59E-01,1.99E-10,3.74E-02
-0.006509466,134271.797,3196.99292,0.457993984,0.345036507,1.91E-14,0.159693018,1.83E-10,3.73E-02
-0.006374079,134274.766,3195.82959,0.457451612,0.345381767,1.38E-14,0.160005659,1.71E-10,3.72E-02
-0.006241508,134277.562,3194.7124,0.456932724,0.345712125,9.84E-15,0.1603048,1.62E-10,0.037050337
-0.006111694,134280.203,3193.6394,0.456436276,3.46E-01,7.02E-15,1.61E-01,1.56E-10,3.69E-02
-0.005984579,134282.719,3192.60938,0.455961406,0.346330434,4.99E-15,0.160864249,1.51E-10,0.036843855
-0.005860106,134285.094,3191.62061,0.455507219,0.346619576,3.55E-15,0.16112563,1.47E-10,0.036747545
-0.005738222,134287.359,3190.67212,0.45507282,3.47E-01,2.53E-15,1.61E-01,1.45E-10,3.67E-02
-0.005618871,134289.5,3189.76196,0.454657435,0.347160548,1.82E-15,0.161614239,1.43E-10,0.036567755
-0.005502002,134291.531,3188.8894,0.45426023,0.347413391,1.32E-15,0.161842436,1.41E-10,0.036483895
-0.005387563,134293.453,3188.05249,0.453880489,0.347655147,9.76E-16,0.162060529,1.40E-10,0.036403816
-0.005275502,134295.297,3187.25049,0.453517467,0.347886235,7.39E-16,0.162268907,1.39E-10,0.036327351
-0.005165772,134297.031,3186.48169,0.453170508,3.48E-01,5.77E-16,1.62E-01,1.39E-10,3.63E-02
-0.005058322,134298.703,3185.74487,0.452838898,0.348318189,4.67E-16,0.162658244,1.38E-10,3.62E-02
-0.004953106,134300.281,3185.03784,0.452522039,0.348519921,3.93E-16,0.162839979,1.37E-10,3.61E-02
-0.004850077,134301.781,3184.35913,0.452219307,3.49E-01,3.43E-16,1.63E-01,1.37E-10,3.61E-02
-0.00474919,134303.203,3183.70923,0.451930106,0.348896742,3.09E-16,0.163179383,1.37E-10,3.60E-02
-0.0046504,134304.578,3183.08765,0.451653898,0.349072576,2.87E-16,0.163337752,1.36E-10,0.03593576
-0.004553663,134305.875,3182.49292,0.451390117,0.349240482,2.72E-16,0.163488954,1.36E-10,0.035880409
-0.004458937,134307.109,3181.92407,0.451138228,0.349400848,2.62E-16,0.163633332,1.36E-10,0.035827573
-0.004366179,134308.297,3181.38037,0.450897723,3.50E-01,2.56E-16,1.64E-01,1.35E-10,3.58E-02
-0.004275349,134309.422,3180.86035,0.450668156,0.349700063,2.51E-16,0.1639027,1.35E-10,3.57E-02
-0.004186407,134310.516,3180.36328,0.45044902,3.50E-01,2.48E-16,1.64E-01,1.35E-10,3.57E-02
-0.004099313,134311.547,3179.88818,0.450239897,0.349972695,2.45E-16,1.64E-01,1.35E-10,3.56E-02
-0.004014029,134312.531,3179.43408,0.45004034,0.350099742,2.44E-16,0.164262325,1.34E-10,3.56E-02
-0.003930517,134313.469,3179.00024,0.449849933,0.350220948,2.43E-16,0.164371356,1.34E-10,3.56E-02
-0.00384874,134314.375,3178.58569,0.449668318,0.350336552,2.41E-16,0.164475352,1.34E-10,3.55E-02
-0.003768662,134315.25,3178.1897,0.449495077,0.35044685,2.41E-16,1.65E-01,1.34E-10,0.035483517
-0.003690249,134316.078,3177.81152,0.449329853,3.51E-01,2.40E-16,1.65E-01,1.34E-10,3.54E-02
-0.003613464,134316.875,3177.45044,0.449172318,0.350652307,2.39E-16,0.164759248,1.33E-10,0.035416082
-0.003538274,134317.641,3177.10571,0.449022114,0.350747943,2.39E-16,0.164845198,1.33E-10,0.035384718
-0.003464645,134318.375,3176.77661,0.448878944,3.51E-01,2.38E-16,1.65E-01,1.33E-10,3.54E-02
-0.003392547,134319.078,3176.4624,0.448742449,0.350925952,2.38E-16,0.165005177,1.33E-10,3.53E-02
-0.003321946,134319.75,3176.1626,0.448612392,3.51E-01,2.37E-16,1.65E-01,1.33E-10,3.53E-02
-0.003252811,134320.406,3175.87646,0.448488474,0.35108763,2.37E-16,0.165150449,1.33E-10,3.53E-02
-0.003185111,134321.031,3175.60376,0.448370397,3.51E-01,2.36E-16,1.65E-01,1.33E-10,3.52E-02
-0.003118818,134321.625,3175.34351,0.448257923,0.351234406,2.36E-16,1.65E-01,1.32E-10,0.035225369
-0.003053901,134322.203,3175.09521,0.448150814,3.51E-01,2.36E-16,1.65E-01,1.32E-10,3.52E-02
-0.002990332,134322.766,3174.85864,0.4480488,0.351367533,2.35E-16,1.65E-01,1.32E-10,0.035181824
-0.002928083,134323.297,3174.63306,0.447951674,3.51E-01,2.35E-16,1.65E-01,1.32E-10,3.52E-02
-0.002867125,134323.828,3174.41797,0.447859198,0.351488233,2.35E-16,0.165510163,1.32E-10,0.035142373
-0.002807433,134324.328,3174.21289,0.447771162,0.351544261,2.34E-16,0.165560454,1.32E-10,0.035124064
-0.00274898,134324.812,3174.01758,0.447687387,0.351597607,2.34E-16,0.165608332,1.32E-10,0.035106644
-0.002691741,134325.281,3173.83154,0.447607696,0.351648331,2.34E-16,0.16565387,1.32E-10,3.51E-02
-0.002635689,134325.719,3173.6543,0.447531849,0.35169661,2.33E-16,0.165697187,1.32E-10,3.51E-02
-0.002580799,134326.156,3173.48535,0.447459757,0.351742506,2.33E-16,0.165738404,1.32E-10,3.51E-02
-0.002527049,134326.578,3173.32446,0.447391242,3.52E-01,2.33E-16,1.66E-01,1.32E-10,0.035045005
-0.002474413,134326.984,3173.17139,0.447326124,3.52E-01,2.33E-16,1.66E-01,1.32E-10,3.50E-02
-0.00242287,134327.391,3173.02539,0.447264344,3.52E-01,2.33E-16,1.66E-01,1.31E-10,3.50E-02
-0.002372395,134327.766,3172.88623,0.447205812,3.52E-01,2.32E-16,1.66E-01,1.31E-10,3.50E-02
-0.002322967,134328.141,3172.75366,0.447150409,0.35193944,2.32E-16,0.165915757,1.31E-10,3.50E-02
